Description	opportunities
This apprenticeship program allows students to earn money on the job while also taking college classes at Alamance Community College at no cost. The program is available to eligible juniors and seniors in high school and focuses on several technical industry sectors with an emphasis on advanced manufacturing.	Met
The Alexander County Furniture Academy is an industry driven training program designed by local furniture manufacturers and Catawba Valley Community College to prepare students for the skilled positions that are in high demand by some of the largest employers in our area.	Met
"The WCC Tuition-Free Guarantee initiative is an innovative program developed through a unique partnership between Wilkes Community College, Alleghany County Schools and the Alleghany County Educational Foundation. The purpose of this program is to guarantee all students in Alleghany County Schools have access to an Associate Degree from Wilkes Community College tuition-free. "	Met
"South Piedmont Community College offers a number of courses for individuals that are seeking to complete their career in less than a year. Schedules are flexible, which include weekend and evening classes. Classes range from 4 weeks to 12 months."	Met
"Our Early Childhood and Education Program improves quality or maintains high quality child care in our county through teacher education. We provide onsite technical assistance, peer mentors, group and onsite training to child care facilities to increase or maintain their star ratings."	Exceeded
"The Avery Learning Center offers a variety of classes including pre-college programs, ESL, personal enrichment courses, short term certifications, and some curriculum classes. These courses help individuals train for a new career, enhance current job skills, or develop a hobby. "	Exceeded
Beaufort Co. Schools and Beaufort Co. Community College offer boatbuilding courses to supply the county's 9 boatbuilders with a skilled workforce.	Not Met
"Bertie County Schools is one of the four LEAs in the state to receive grant funding to transform North Carolina’s teacher compensation models and to develop advanced teaching roles. Partners include RTI International, Elizabeth City State University, Hope Street Group, Best NC, and the National Center for Teacher Residencies."	Exceeded
Bladen Community College and the University of Mount Olive partner to enhance and expand options for community college students.  BCC students who have earned an associate of applied science degree can transfer seamlessly into an array of programs at UMO. BCC students become eligible to apply for all state and federal financial aid.	Met
"Brunswick Community College and the Cape Fear Workforce Development Board were recently awarded a $400,000 grant to build a talent pipeline into the area’s construction industry. The initiative, Pathways to Purpose, will support innovative recruitment, accelerated construction training, credential attainment and soft skills instruction."	Met
"Working with Asheville City Schools, Buncombe County Schools and a network of more than 50 local service providers, United Way of Asheville and Buncombe County is organizing resources that will support the health, education and financial stability of the whole family and neighboring community. By using our local middle schools as a district-wide hub for services, we can find new ways to address the needs of the community."	Met
Work in Burke educates students and their parents about the job opportunities available in Burke County and the training required to pursue a career in those fields.	Met
"GO BOLD! Bold Women in Bold Careers exists to encourage women in Cabarrus County to learn about challenging and rewarding career opportunities that they may not have considered. Local employers have job openings and are looking for diversity in their workplace. They want to hire talented women in full-time roles, offering good wages and benefit packages with potential for advancement."	Exceeded
Caldwell is Hiring offers an opportunity for those seeking employment to meet directly with companies that have immediate or soon-to-fill job openings.	Met
"Albemarle Alliance for Children and Families supports programs and services designed to enhance the quality of early care and education, to assist parents in finding and selecting quality programs for their children, to provide strength based programs to support families parenting young children and children with special needs, and to support teen parents and teen pregnancy prevention."	Met
NC Martec prepares students for employment in the manufacture and service of boats. Students learn the basics of boat design and how to design various components and/or complete boats or yachts.	Exceeded
